<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:05;1.147.200.000.000;1.147.600.000.000;1.147.000.000.000;1.147.500.000.000;867;SPFB.RTS-12.18;1;12/11/2018;22:05;1.110.700.000.000;1.111.400.000.000;1.110.300.000.000;1.111.400.000.000;389;SPFB.RTS-12.18;1;12/12/2018;22:05;1.124.200.000.000;1.124.200.000.000;1.123.200.000.000;1.123.700.000.000;294
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:06;1.147.600.000.000;1.148.200.000.000;1.147.400.000.000;1.147.900.000.000;364;SPFB.RTS-12.18;1;12/11/2018;22:06;1.111.400.000.000;1.111.500.000.000;1.110.700.000.000;1.110.900.000.000;268;SPFB.RTS-12.18;1;12/12/2018;22:06;1.123.600.000.000;1.123.800.000.000;1.123.200.000.000;1.123.700.000.000;111
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:07;1.147.800.000.000;1.148.100.000.000;1.147.400.000.000;1.147.900.000.000;144;SPFB.RTS-12.18;1;12/11/2018;22:07;1.110.800.000.000;1.111.000.000.000;1.110.500.000.000;1.111.000.000.000;46;SPFB.RTS-12.18;1;12/12/2018;22:07;1.123.600.000.000;1.123.600.000.000;1.123.000.000.000;1.123.200.000.000;148
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:08;1.148.000.000.000;1.148.300.000.000;1.147.800.000.000;1.148.000.000.000;149;SPFB.RTS-12.18;1;12/11/2018;22:08;1.110.900.000.000;1.111.200.000.000;1.110.900.000.000;1.111.100.000.000;49;SPFB.RTS-12.18;1;12/12/2018;22:08;1.123.300.000.000;1.123.400.000.000;1.122.700.000.000;1.123.100.000.000;463
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:09;1.148.100.000.000;1.149.100.000.000;1.148.100.000.000;1.149.100.000.000;530;SPFB.RTS-12.18;1;12/11/2018;22:09;1.111.000.000.000;1.111.100.000.000;1.110.700.000.000;1.110.900.000.000;72;SPFB.RTS-12.18;1;12/12/2018;22:09;1.123.000.000.000;1.123.000.000.000;1.122.500.000.000;1.122.900.000.000;307
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:10;1.149.000.000.000;1.149.400.000.000;1.148.800.000.000;1.148.900.000.000;356;SPFB.RTS-12.18;1;12/11/2018;22:10;1.110.900.000.000;1.111.200.000.000;1.110.900.000.000;1.111.000.000.000;49;SPFB.RTS-12.18;1;12/12/2018;22:10;1.122.900.000.000;1.123.000.000.000;1.122.600.000.000;1.122.700.000.000;208
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:11;1.148.900.000.000;1.149.700.000.000;1.148.900.000.000;1.149.000.000.000;262;SPFB.RTS-12.18;1;12/11/2018;22:11;1.110.900.000.000;1.111.500.000.000;1.110.900.000.000;1.111.500.000.000;78;SPFB.RTS-12.18;1;12/12/2018;22:11;1.122.600.000.000;1.122.700.000.000;1.122.400.000.000;1.122.600.000.000;112
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:12;1.149.000.000.000;1.149.300.000.000;1.148.800.000.000;1.148.900.000.000;223;SPFB.RTS-12.18;1;12/11/2018;22:12;1.111.500.000.000;1.112.400.000.000;1.111.500.000.000;1.112.200.000.000;608;SPFB.RTS-12.18;1;12/12/2018;22:12;1.122.500.000.000;1.122.500.000.000;1.121.900.000.000;1.122.100.000.000;614
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:13;1.149.100.000.000;1.149.100.000.000;1.148.200.000.000;1.148.400.000.000;373;SPFB.RTS-12.18;1;12/11/2018;22:13;1.112.200.000.000;1.112.300.000.000;1.111.900.000.000;1.112.200.000.000;305;SPFB.RTS-12.18;1;12/12/2018;22:13;1.122.000.000.000;1.122.400.000.000;1.121.300.000.000;1.122.200.000.000;388
;;;;;;;;;SPFB.RTS-12.18;1;12/10/2018;22:14;1.148.400.000.000;1.148.700.000.000;1.148.200.000.000;1.148.500.000.000;198;SPFB.RTS-12.18;1;12/11/2018;22:14;1.112.300.000.000;1.112.900.000.000;1.112.200.000.000;1.112.900.000.000;429;SPFB.RTS-12.18;1;12/12/2018;22:14;1.122.200.000.000;1.122.500.000.000;1.122.000.000.000;1.122.500.000.000;161
