<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,04/09/18,10:57,107590.0000000,107590.0000000,107590.0000000,107590.0000000,1
SPFB.RTS-12.18,1,04/09/18,10:58,107550.0000000,107550.0000000,107510.0000000,107510.0000000,2
SPFB.RTS-12.18,1,04/09/18,10:59,107550.0000000,107550.0000000,107550.0000000,107550.0000000,4
SPFB.RTS-12.18,1,04/09/18,11:03,107450.0000000,107450.0000000,107430.0000000,107430.0000000,3
SPFB.RTS-12.18,1,04/09/18,11:08,107530.0000000,107530.0000000,107530.0000000,107530.0000000,3
SPFB.RTS-12.18,1,04/09/18,11:09,107590.0000000,107600.0000000,107590.0000000,107600.0000000,2
SPFB.RTS-12.18,1,04/09/18,11:11,107690.0000000,107690.0000000,107690.0000000,107690.0000000,1
SPFB.RTS-12.18,1,04/09/18,11:19,107610.0000000,107610.0000000,107610.0000000,107610.0000000,1
SPFB.RTS-12.18,1,04/09/18,11:21,107640.0000000,107640.0000000,107640.0000000,107640.0000000,2
SPFB.RTS-12.18,1,04/09/18,11:22,107690.0000000,107690.0000000,107690.0000000,107690.0000000,1
SPFB.RTS-12.18,1,04/09/18,11:24,107610.0000000,107610.0000000,107610.0000000,107610.0000000,1
SPFB.RTS-12.18,1,04/09/18,11:26,107630.0000000,107630.0000000,107630.0000000,107630.0000000,1
SPFB.RTS-12.18,1,04/09/18,11:36,107570.0000000,107570.0000000,107570.0000000,107570.0000000,2
SPFB.RTS-12.18,1,04/09/18,11:47,107510.0000000,107510.0000000,107510.0000000,107510.0000000,1
SPFB.RTS-12.18,1,04/09/18,11:53,107460.0000000,107460.0000000,107440.0000000,107460.0000000,7
SPFB.RTS-12.18,1,04/09/18,11:55,107460.0000000,107470.0000000,107460.0000000,107460.0000000,5
SPFB.RTS-12.18,1,04/09/18,11:56,107340.0000000,107390.0000000,107300.0000000,107300.0000000,8
SPFB.RTS-12.18,1,04/09/18,11:57,107400.0000000,107410.0000000,107400.0000000,107410.0000000,8
SPFB.RTS-12.18,1,04/09/18,12:00,107360.0000000,107400.0000000,107210.0000000,107270.0000000,9
SPFB.RTS-12.18,1,04/09/18,12:01,107240.0000000,107240.0000000,106970.0000000,106970.0000000,87
SPFB.RTS-12.18,1,04/09/18,12:02,106910.0000000,106910.0000000,106830.0000000,106910.0000000,27
SPFB.RTS-12.18,1,04/09/18,12:03,106830.0000000,106870.0000000,106750.0000000,106870.0000000,18
SPFB.RTS-12.18,1,04/09/18,12:04,106900.0000000,107000.0000000,106850.0000000,106850.0000000,23
SPFB.RTS-12.18,1,04/09/18,12:05,106810.0000000,106840.0000000,106810.0000000,106840.0000000,3
